,title,subtitle,link
0,ASTON VILLA VS MAN UTD,Red Devils face tricky Premier League test against Unai Emery's side,https://www.the-sun.com/sport/10329857/aston-villa-vs-man-utd-live-score-premier-league-updates/
1,HAMMER BLOW,Piers slams 'classless' West Ham fans after Declan Rice incident at Arsenal,https://www.the-sun.com/sport/10354849/piers-morgan-slams-west-ham-boos-declan-rice/
2,TACHE AND GO,Chelsea FA Cup winner looks unrecognisable without iconic moustache,https://www.the-sun.com/sport/10354493/chelsea-ed-de-goey-unrecognisable/
3,PIER PRESSURE,Piers Morgan slams Arteta's 'ridiculous' Arsenal team to face West Ham,https://www.the-sun.com/sport/10354265/piers-morgan-slams-arteta-arsenal-drop-jorginho-west-ham/
4,RED ALERT,Arsenal hit by injury crisis with FOUR players ruled out of West Ham clash,https://www.the-sun.com/sport/10354192/arsenal-injury-crisis-arteta-west-ham/
5,SHOOTING STAR,Watch ex-Arsenal star score screamer at 38 as fans say 'he's still playing?',https://www.the-sun.com/sport/10353981/lukas-podolski-arsenal-gornik-zabrze-goal/
6,WEST HAM VS ARSENAL,Rice returns to old stomping ground as Hammers take on Gunners,https://www.the-sun.com/sport/10329835/west-ham-arsenal-live-score-premier-league-updates/
7,NIGERIA VS IVORY COAST,All you need to know as hosts take on Osimhen and Co in Afcon final,https://www.the-sun.com/sport/10329875/nigeria-vs-ivory-coast-africa-cup-of-nations-final/
8,,Tuchel fumes at Bundesliga rule after Bayern Munich's defeat to Bayer Leverkusen,https://www.the-sun.com/sport/10353616/tuchel-fumes-loan-rule-stanisic-bayer-leverkusen-bayern-munich/
9,,Kane's horror stats at Leverkusen revealed as even NEUER gets closer to goal,https://www.the-sun.com/sport/10353107/harry-kanes-horror-stats-bayer-leverkusen-revealed-neuer/
10,IN-SANE,Watch Sane punch TV camera after Bayern concede third vs Bayer Leverkusen,https://www.the-sun.com/sport/10352983/watch-leroy-sane-smash-camera-bayern-munich-bayer-leverkusen/
11,FEARLESS FOXES,Leicester boss Kirk ready for Foxes to take on Women's FA Cup's big guns,https://www.the-sun.com/sport/10352947/womens-fa-cup-leiciester-city-birmingham-willie-kirk/
12,,Sir Alex's home he shared with his wife still up for sale months after death,https://www.the-sun.com/news/10352864/sir-alex-fergusons-family-home-sale-wife-death/
13,,What happened next to Man Utd's forgotten stars from their famed Class of '92,https://www.the-sun.com/sport/10352812/what-happened-next-man-utd-forgotten-class-92/
14,'ZOMBIE' NATION,Ivory Coast's bonkers route to Afcon final after mid-tournament sacking,https://www.the-sun.com/sport/10352780/africa-cup-of-nations-ivory-coast-final-route/
15,,Palace line up £15m Marseille star as transfer exits increase over Olise and Eze,https://www.the-sun.com/sport/10351665/crystal-palace-transfer-iliman-ndiaye-eze-olise/
16,,Diallo snubs ex-Man Utd boss as two new clubs lead race for Red Devils starlet,https://www.the-sun.com/sport/10351515/amad-diallo-man-utd-transfer-birmingham-watford/
17,HARRY COURT CHAOS,Maguire’s Greek retrial for assault and bribery shelved for over a year,https://www.the-sun.com/sport/10351118/harry-maguires-greek-retrial-assault-bribery-shelved/
18,,"Jermaine Pennant, 41, enjoys date with movie star, 31, weeks after love split",https://www.the-sun.com/sport/10351006/jermaine-pennant-charlotte-kirk-london-jess-impiazzi/
19,,Sheff Weds look to capitalise on deadline day paperwork error to sign MLS ace,https://www.the-sun.com/sport/10350899/sheffield-wednesday-mls-blackburn-duncan-mcguire-championship-efl/
20,'ARMLESS FUN,Ex-Prem star scores 'elbow of God' then winds up opposition with celebration,https://www.the-sun.com/sport/10350793/bamford-leeds-rotherham-championship-premier-league/
21,LEVERKUSEN 3 BAYERN 0,Harry Kane looks destined to remain trophyless after huge defeat,https://www.the-sun.com/sport/10350711/bayer-leverkusen-bayern-munich-harry-kane-xabi-alonso/
22,,Guimaraes scores two beauties as Toon keep pressure on Euro rivals,https://www.the-sun.com/sport/10350518/nottingham-forest-newcastle-bruno-guimaraes/
23,,"Juventus, Inter and AC Milan ‘pushing to kick TWO clubs out of Serie A’",https://www.the-sun.com/sport/10350396/juventus-inter-ac-milan-serie-a/
24,BELL TOLLS,Bellingham gives Real Madrid injury scare as he's forced off after scoring twice,https://www.the-sun.com/sport/10350310/jude-bellingham-injury-real-madrid-girona-goals/
25,FOREST 2 NEWCASTLE 3,Latest as Bruno Guimaraes bags a stunning brace as Toon retake lead,https://www.the-sun.com/sport/10349746/nottingham-forest-vs-newcastle-live-score-premier-league/
26,,Qatar star scores in Asia Cup final... and celebrates with amazing magic trick,https://www.the-sun.com/sport/10349648/qatar-asia-cup-penalty-afif-magic-trick-celebration/
27,,Southgate 'SPLITS from agent who owes him huge sum after failed £25m venture',https://www.the-sun.com/sport/10349461/gareth-southgate-agent-england-failed-venture/
